titulo,data,diario_pdf
Diário Oficial Nº10 (06-03-2020),06/03/2020 às 14:58,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2357/arquivos/file_2020041014586qND.pdf
Diário Oficial Nº11 (13-02-2020),13/03/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2340/arquivos/file_202003202034enxZ.pdf
Diário Oficial Nº11A (16-03-2020) - Extra,16/03/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2326/arquivos/file_202003161810JHyf.pdf
Diário Oficial Nº11B (17-03-2020) - Extra,17/03/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2328/arquivos/file_202003172029Vhbi.pdf
Diário Oficial Nº11C (18-03-2020) - Extra,18/03/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2358/arquivos/file_202004101459riBd.pdf
Diário Oficial Nº09A (02-03-2020) - Extra,02/03/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/documentos/2353/arquivos/file_202004101438tnp7.pdf
Diário Oficial Nº08 (21-02-2020),21/02/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2314/arquivos/file_202002211732z6Go.pdf
Diário Oficial Nº08A (26-02-2020) - Extra,26/02/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/documentos/2362/arquivos/file_202004231533luFm.pdf
Diário Oficial Nº08A (27-02-2020) - Extra,27/02/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2315/arquivos/file_202002271806wtFk.pdf
Diário Oficial Nº09 (28-02-2020),28/02/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2316/arquivos/file_2020030420080Bfy.pdf
Diário Oficial Nº05 (31-01-2020),31/01/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2296/arquivos/file_202001311954PYaQ.pdf
Diário Oficial Nº05A (03-02-2020) - Extra,03/02/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2300/arquivos/file_2020020710320k0K.pdf
Diário Oficial Nº05C (05-02-2020) - Extra,05/02/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2309/arquivos/file_2021032612152xEx.pdf
Diário Oficial Nº06A (10-02-2020) - Extra,10/02/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2302/arquivos/file_202002101820atfx.pdf
Diário Oficial Nº06C (13-02-2020) - Extra,13/02/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2310/arquivos/file_202002171013TNPA.pdf
Diário Oficial Nº02A (15-01-2020) - Extra,15/01/2020 às 17:26,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2282/arquivos/file_2020022117227mjM.pdf
Diário Oficial Nº02B (16-01-2020) - Extra,16/01/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2283/arquivos/file_202001161818Br1u.pdf
Diário Oficial Nº03 (17-01-2020),18/01/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2284/arquivos/file_2020011819166unM.pdf
Diário Oficial Nº03C (23-01-2020) - Extra,23/01/2020 às 18:04,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2294/arquivos/file_202001231804CSG7.pdf
Diário Oficial Nº04C (30-01-2020) - Extra,30/01/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2301/arquivos/file_202002071029RH3g.pdf
Diário Oficial Nº50B (18-12-2019) - Extra,18/12/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2308/arquivos/file_202002120919EXUo.pdf
Diário Oficial Nº51 (20-12-2019),20/12/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2275/arquivos/file_201912241116hQIA.pdf
Diário Oficial Nº52 (27-12-2019),27/12/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2277/arquivos/file_201912271838YB4i.pdf
Diário Oficial Nº52B (31-12-2019) - Extra,31/12/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2287/arquivos/file_202002101037CZDv.pdf
Diário Oficial Nº02 (10-01-2020),10/01/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2295/arquivos/file_2020012413302Ilt.pdf
Diário Oficial Nº47 (22-11-2019),22/11/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2267/arquivos/file_201911251634gjMC.pdf
Diário Oficial Nº48 (29-11-2019),29/11/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2269/arquivos/file_201912031417eqoy.pdf
Diário Oficial Nº48B (04-12-2019) - Extra,04/12/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2270/arquivos/file_201912041825YdoF.pdf
Diário Oficial Nº49 (06-12-2019),06/12/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2271/arquivos/file_201912091052U0jg.pdf
Diário Oficial Nº50A (16-12-2019) - Extra,16/12/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2274/arquivos/file_201912172000sHbw.pdf
Diário Oficia Nº43 (25-10-2019),25/10/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2254/arquivos/file_2019102518063vO7.pdf
Diário Oficia Nº44A (05-11-2019) - Extra,06/11/2019 às 10:48,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2256/arquivos/file_201911061508lOyK.pdf
Diário Oficial Nº46 (14-11-2019),14/11/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2260/arquivos/file_201911141943fMGU.pdf
Diário Oficial Nº46B (19-11-2019) - Extra,19/11/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2261/arquivos/file_201911191939B0KT.pdf
Diário Oficial Nº46C (21-11-2019) - Extra,21/11/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2266/arquivos/file_201911251259dKFr.pdf
Diário Oficia Nº39B (02-10-2019) - Extra,02/10/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2242/arquivos/file_201910021801udVZ.pdf
Diário Oficia Nº40B (09-10-2019) - Extra,09/10/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2244/arquivos/file_201910091810wBdQ.pdf
Diário Oficia Nº41 (11-10-2019),11/10/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2245/arquivos/file_201910111834hh8c.pdf
Diário Oficia Nº41A (14-10-2019) - Extra,14/10/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2247/arquivos/file_201910141502wX7e.pdf
Diário Oficia Nº42B (22-10-2019) - Extra,22/10/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2251/arquivos/file_201910221900llIw.pdf
Diário Oficia Nº37B (18-09-2019) - Extra,18/09/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2246/arquivos/file_201910141501KPfm.pdf
Diário Oficia Nº37C (19-09-2019) - Extra,19/09/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2235/arquivos/file_20190919112461kA.pdf
Diário Oficia Nº38A (25-09-2019) - Extra,25/09/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2237/arquivos/file_201910161032ExoC.pdf
Diário Oficia Nº39 (27-09-2019),27/09/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2238/arquivos/file_201912091051jaoN.pdf
Diário Oficia Nº39A (01-10-2019) - Extra,01/10/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2241/arquivos/file_201910021033gAk1.pdf
Diário Oficia Nº35D (05-09-2019) - Extra,05/09/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2233/arquivos/file_2019091618031e5v.pdf
Diário Oficia Nº36A (10-09-2019) - Extra,10/09/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2229/arquivos/file_201909111244fsxV.pdf
Diário Oficia Nº36B (11-09-2019) - Extra,11/09/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2230/arquivos/file_201909121024Breh.pdf
Diário Oficia Nº37 (13-09-2019),13/09/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2231/arquivos/file_201909141633Wf8O.pdf
Diário Oficia Nº37A (17-09-2019) - Extra,17/09/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2234/arquivos/file_201912120931tEUa.pdf
Diário Oficia Nº34B (27-08-2019) - Extra,27/08/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2223/arquivos/file_201908291607FCD2.pdf
Diário Oficia Nº34C (28-08-2019) - Extra,28/08/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2222/arquivos/file_201908291250UnVb.pdf
Diário Oficia Nº34D (29-08-2019) - Extra,29/08/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2224/arquivos/file_201908291732gaCa.pdf
Diário Oficia Nº35 (30-08-2019),30/08/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2225/arquivos/file_201908302040D4Bi.pdf
Diário Oficia Nº35B (03-09-2019) - Extra,03/09/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2226/arquivos/file_20190904084421q2.pdf
Diário Oficia Nº32D (15-08-2019) - Extra,15/08/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2215/arquivos/file_201909030907goj1.pdf
Diário Oficia Nº33 (16-08-2019),16/08/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2216/arquivos/file_201908161849i1ta.pdf
Diário Oficia Nº33A (19-08-2019) - Extra,19/08/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2217/arquivos/file_201908201653FxeA.pdf
Diário Oficia Nº33B (20-08-2019) - Extra,20/08/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/editais/2219/arquivos/file_201908201725sx3y.pdf
Diário Oficia Nº33C (22-08-2019) - Extra,22/08/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2220/arquivos/file_201908221930yU99.pdf
Diário Oficia Nº30C (31-07-2019) - Extra,31/07/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2205/arquivos/file_201908021753yMNO.pdf
Diário Oficia Nº31 (02-08-2019),02/08/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/editais/2206/arquivos/file_201908021756OZRx.pdf
Diário Oficia Nº31A (06-08-2019) - Extra,06/08/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2208/arquivos/file_2019080809033vuf.pdf
Diário Oficia Nº32 (09-08-2019),09/08/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2209/arquivos/file_201908091839Otop.pdf
Diário Oficia Nº32A (12-08-2019) - Extra,12/08/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2211/arquivos/file_201908121918zVIc.pdf
Diário Oficia Nº28C (17-07-2019) - Extra,17/07/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2195/arquivos/file_201907291322tRws.pdf
Diário Oficia Nº29 (19-07-2019),19/07/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2193/arquivos/file_2019072915208hei.pdf
Diário Oficia Nº29A (23-07-2019) - Extra,23/07/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2194/arquivos/file_201907231843Uf9d.pdf
Diário Oficia Nº29B (24-07-2019) - Extra,24/07/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2196/arquivos/file_201907241525QiW0.pdf
Diário Oficia Nº30 (26-07-2019),26/07/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2197/arquivos/file_201907262102yQgl.pdf
Diário Oficia Nº26 (28-06-2019),28/06/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2173/arquivos/file_201906281607bVb5.pdf
Diário Oficia Nº26B (02-07-2019) - Extra,02/07/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2181/arquivos/file_201907041108cQEL.pdf
Diário Oficia Nº27 (05-07-2019),05/07/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2183/arquivos/file_201907081700Bqxj.pdf
Diário Oficia Nº27A (08-07-2019) - Extra,08/07/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2182/arquivos/file_2019070816174DwW.pdf
Diário Oficia Nº27B (09-07-2019) - Extra,09/07/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2185/arquivos/file_201907101655ZDvF.pdf
Diário Oficia Nº21D (30-05-2019) - Extra,30/05/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2154/arquivos/file_201905301637jzJK.pdf
Diário Oficia Nº22A (03-06-2019) - Extra,03/06/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2158/arquivos/file_201906031729dAkR.pdf
Diário Oficia Nº22C (06-06-2019) - Extra,06/06/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2159/arquivos/file_201906071610pJcs.pdf
Diário Oficia Nº23C (13-06-2019) - Extra,13/06/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2167/arquivos/file_201906131502w4ju.pdf
Diário Oficia Nº24 (14-06-2019),14/06/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2169/arquivos/file_201906181042YymO.pdf
Diário Oficia Nº20C (23-05-2019) - Extra,23/05/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2147/arquivos/file_2019052415402uDo.pdf
Diário Oficia Nº21 (24-05-2019),24/05/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2148/arquivos/file_2019053016359HD5.pdf
Diário Oficia Nº21A (27-05-2019) - Extra,27/05/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2151/arquivos/file_201906041734xEuN.pdf
Diário Oficia Nº21B (28-05-2019) - Extra,28/05/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2152/arquivos/file_201905300842Y2m4.pdf
Diário Oficia Nº21C (29-05-2019) - Extra,29/05/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2153/arquivos/file_202011251453koBo.pdf
Diário Oficia Nº17B (30-04-2019) - Extra,30/04/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2136/arquivos/file_201904301648qs2n.pdf
Diário Oficia Nº17C (02-05-2019) - Extra,02/05/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2137/arquivos/file_201905030813oxiu.pdf
Diário Oficia Nº18 (03-05-2019),03/05/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2186/arquivos/file_201907151039PffK.pdf
Diário Oficia Nº19B (16-05-2019) - Extra,16/05/2019 às 17:15,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2157/arquivos/file_2019060317167PgV.pdf
Diário Oficia Nº20A (20-05-2019) - Extra,20/05/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2184/arquivos/file_201907101621aM8g.pdf
Diário Oficia Nº16 (18-04-2019),18/04/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2127/arquivos/file_2019050310421BQR.pdf
Diário Oficia Nº16A (22-04-2019) - Extra,22/04/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2126/arquivos/file_201904222129uemJ.pdf
Diário Oficia Nº16B (23-04-2019) - Extra,23/04/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2130/arquivos/file_201904261546JujD.pdf
Diário Oficia Nº16C (24-04-2019) - Extra,24/04/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2129/arquivos/file_201904242029tYfL.pdf
Diário Oficia Nº17 (26-04-2019),26/04/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2135/arquivos/file_201904271227gflz.pdf
Diário Oficia Nº10A (11-03-2019) - Extra,11/03/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/diario-oficial/2109/arquivos/file_201903111650RE4G.pdf
Diário Oficia Nº11 (15-03-2019),15/03/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/diario-oficial/2114/arquivos/file_201903190910LRiI.pdf
Diário Oficia Nº12C (28-03-2019) - Extra,28/03/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2116/arquivos/file_201907101706ceHC.pdf
Diário Oficia Nº13 (29-03-2019),29/03/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/diario-oficial/2117/arquivos/file_201903291656ZfX4.pdf
Diário Oficia Nº15A (15-04-2019) - Extra,15/04/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2125/arquivos/file_201904160949utBo.pdf
Diário Oficia Nº07B (19-02-2019) - Extra,19/02/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2090/arquivos/pub20022019093444.pdf
Diário Oficia Nº08A (26-02-2019) - Extra,26/02/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2095/arquivos/pub27022019103028.pdf
Diário Oficia Nº09 (01-03-2019),01/03/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/diario-oficial/2102/arquivos/file_201903110947A1wR.pdf
Diário Oficia Nº09A (06-03-2019) - Extra,06/03/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/diario-oficial/2103/arquivos/file_2019031109490nIQ.pdf
Diário Oficia Nº10 (08-03-2019),08/03/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/diario-oficial/2104/arquivos/file_201903120832qJeZ.pdf
Diário Oficia Nº05C (06-02-2019) - Extra,06/02/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2081/arquivos/pub07022019163131.pdf
Diário Oficia Nº06 (08-02-2019),08/02/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2084/arquivos/pub13022019170635.pdf
Diário Oficia Nº06B (12-02-2019) - Extra,12/02/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2085/arquivos/pub13022019170722.pdf
Diário Oficia Nº07 (15-02-2019),15/02/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2088/arquivos/pub19022019095903.pdf
Diário Oficia Nº07A (18-02-2019) - Extra,18/02/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2087/arquivos/pub19022019095834.pdf
Diário Oficia Nº03A (21-01-2019) - Extra,21/01/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2072/arquivos/pub21012019172802.pdf
Diário Oficia Nº03B (22-01-2019) - Extra,22/01/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2073/arquivos/pub23012019093530.pdf
Diário Oficia Nº03C (23-01-2019) - Extra,23/01/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2074/arquivos/pub24012019105048.pdf
Diário Oficia Nº04A (28-01-2019) - Extra,28/01/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2075/arquivos/pub28012019160334.pdf
Diário Oficia Nº05 (01-02-2019),01/02/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2076/arquivos/pub01022019161335.pdf
Diário Oficia Nº01 (04-01-2019),04/01/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2069/arquivos/pub21012019112930.pdf
Diário Oficia Nº01B (09-01-2019) - Extra,09/01/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2032/arquivos/pub10012019094252.pdf
Diário Oficia Nº01C (10-01-2019) - Extra,10/01/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/diario-oficial/2119/arquivos/file_201904030918GVnf.pdf
Diário Oficia Nº02C (16-01-2019) - Extra,16/01/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2064/arquivos/pub16012019180813.pdf
Diário Oficia Nº02D (17-01-2019) - Extra,17/01/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2065/arquivos/pub17012019123943.pdf
Diário Oficial - Nº51C (20-12-2018) - Extra,20/12/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2062/arquivos/pub14012019111710.pdf
Diário Oficial - Nº52 (21-12-2018),21/12/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2063/arquivos/pub14012019111808.pdf
Diário Oficial - Nº52A (24-12-2018) - Extra,24/12/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2164/arquivos/file_201906111020UWrD.pdf
Diário Oficial - Nº53 (28-12-2018),28/12/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/1990/arquivos/pub29122018154600.pdf
Diário Oficial Especial  - Nº01 (02-01-2019),02/01/2019 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2454/arquivos/file_2020082711318TKJ.pdf
Diário Oficial - Nº50B (11-12-2018) - Extra,11/12/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2059/arquivos/pub14012019111206.pdf
Diário Oficial - Nº50C (13-12-2018) - Extra,13/12/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2031/arquivos/pub09012019164405.pdf
Diário Oficial - Nº51 (14-12-2018),14/12/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/1942/arquivos/pub14122018180253.pdf
Diário Oficial - Nº51A (17-12-2018) - Extra,17/12/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/diario-oficial/2060/arquivos/file_20190318095706ka.pdf
Diário Oficial - Nº51B (19-12-2018) - Extra,19/12/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2061/arquivos/pub18012019123113.pdf
Diário Oficial - Nº49A (03-12-2018) - Extra,03/12/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/1834/arquivos/pub06122018162712.pdf
Diário Oficial - Nº49B (05-12-2018) - Extra,05/12/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2057/arquivos/pub14012019110928.pdf
Diário Oficial - Nº49C (06-12-2018) - Extra,06/12/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/1918/arquivos/pub06122018162754.pdf
Diário Oficial - Nº50 (07-12-2018),07/12/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/1925/arquivos/pub12122018112328.pdf
Diário Oficial - Nº50A (10-12-2018) - Extra,10/12/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2058/arquivos/pub14012019111111.pdf
Diário Oficial - Nº47C (22-11-2018) - Extra,22/11/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/1753/arquivos/pub22112018160320.pdf
Diário Oficial - Nº48 (23-11-2018),23/11/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2030/arquivos/pub09012019164308.pdf
Diário Oficial - Nº48A (26-11-2018) - Extra,26/11/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2055/arquivos/pub14012019104329.pdf
Diário Oficial - Nº48B (28-11-2018) - Extra,28/11/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2056/arquivos/pub14012019104523.pdf
Diário Oficial - Nº49 (29-11-2018),29/11/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/1807/arquivos/pub12122018115050.pdf
Diário Oficial - Nº46A (12-11-2018) - Extra,12/11/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2050/arquivos/pub14012019103728.pdf
Diário Oficial - Nº46B (14-11-2018) - Extra,14/11/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2051/arquivos/pub14012019103824.pdf
Diário Oficial - Nº47 (16-11-2018),16/11/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2052/arquivos/pub14012019103919.pdf
Diário Oficial - Nº47A (19-11-2018) - Extra,19/11/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2053/arquivos/pub14012019104023.pdf
Diário Oficial - Nº47B (20-11-2018) - Extra,20/11/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2054/arquivos/pub14012019104120.pdf
Diário Oficial - Nº44 (26-10-2018),26/10/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/1491/arquivos/pub30102018113140.pdf
Diário Oficial - Nº45 (01-11-2018),01/11/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/1626/arquivos/pub12112018091426.pdf
Diário Oficial - Nº45A (07-11-2018) - Extra,07/11/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2048/arquivos/pub14012019103408.pdf
Diário Oficial - Nº45B (08-11-2018) - Extra,08/11/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2049/arquivos/pub14012019103508.pdf
Diário Oficial - Nº46 (09-11-2018),09/11/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/1627/arquivos/pub12112018091615.pdf
Diário Oficial - Nº42B (17-10-2018) - Extra,17/10/2018 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2044/arquivos/pub14012019101455.pdf
